userName,content,score,Year,Month,Day
zuhrul anam,Sangat bagus sekali membantu bnget untuk scan2 berkas. Dari pada ke tukan scan perlembar 2000 Mending pakai camscaner aja,5,2024,5,4
Zainal Jay,"aplikasinya bagus,sangat membantu untuk kita dalam men scan file ataupun berkas jadi lebih jelas.",5,2024,5,4
11.Gilang Ramadhan,"Apk bngst, harus berlangganan, pembayaran otomatis tanpa disetujui oleh pemilik akun, saldo langsung berkurang sendiri nya, anjgg!",1,2024,5,4
hna.mntari,"Ini aplikasi bagus banget, scan apa aja cuman sekali jepret langsung jadi, plus masih ada alat tambahan lainnya.   Mau tau cara men-scan gampang? download aja *CamScanner* -!!",5,2024,5,3
Indah Cahyaning,Mau ubah scan jadi JPG kenapa rusak terus ya padahal lagi perlu,2,2024,4,30
049_WIDYA AZZAHRA WIDODO,Ketika mau menggunakan apk scan selalu teralihkan ke aplikasi sh***e. Sangat menyusahkan sekali dan ketika ingin mengganti file nama jg susah lama sekali.,1,2024,4,30
Desti Fibrianti,Dulu kalo scan gratis sekrang kenapa harus bayar yah Terus iklannya terus2an ke Shopee lagi Shopee lagi 😭,3,2024,4,29
Agustina Malau,Jujur saya sangat terbantu sekali dengan adanya aplikasi ini terimakasih yah semoga tetap seperti ini gratis,5,2024,4,29
evva,"Bagus sih , cuma banyak iklannya. Waktu mau nyecan iklannya tiba tiba muncul jadi terhambat. Mohom diperbaiki lagi.",5,2024,4,29
Sunarko Dardjono,Hasil scan dokumen dengan menggunakan aplikasi ini sangat bagus dan mudah digunakan oleh usernya.,5,2024,4,29
The Munaf's Family,"Bagus banget aplikasinya walau banyak iklannya...tp bisa dimengerti kok...kan karyawannya harus makan jg gaes...drpd biaya dibebankan ke pengguna alias berbayar kan ? Sabar aja...iklannya cm bentaran doank kok...dan bisa diilangin dg klik ""x"" atau ""skip"". Intinya, yg gretongan butuh kesabaran ya gaes... Ga mau banyak iklannya ? Ya udah bayar aja.... Gitu aja kok repot.. Keep Up the Good Work ya CS... Fitur² gratisnya sudah cukup membantu kerjaan aku... Overall, aku cukup puas kok 👍",5,2024,4,27
Dewi Shofiyah,"Mau scan dan pdf in berkas tapi dokumen saya ada barcodenya dipojok. Udah pilih yang ""satu halaman"" belom sempet klik foto malah dia detect barcode dan lngsng arahin ke link terkait padahal saya gak pilih yang ""scan qr code"" kecewa jadi gabisa lagi scan dokumen dan berkas yang ada barcodenya.",2,2024,4,27
Heru Gunawan,"Ampun dah iklannya ga nahan, baru buka aplikasi iklan mulu, diclose ga bisa.",2,2024,4,27
Takdir Lela,kalau kirim gambar tidak ada code scaner sehingga sama srperti camera biasa.,1,2024,4,26
Putri Nuriyana,"gak bisa digunain di tablet redmi pad se, pas mau foto gambar kamera nya gelap. pdhl kamera nya normal gak ada kerusakan.",1,2024,4,26
vzrinne1998 GmailDotcom,"Setelah updtae gabisa putar dokumen, selalu kembali ke asal",3,2024,4,26
Karnata Carlos,Sangat memudahkan dan membantu dengan hasil yg optimal..,5,2024,4,26
Nurin Rahma,saya agak kecewa udah di scan mau pindah k PDF kirim ke WA malah di suruh berbayar udah gak bagus aplikasi nya jadi terhalang semua kerjaan saya di kantor🤬🤬,1,2024,4,25
Asma Ikhya,Sudah berlangganan tp nda bisa d gunakan. Tetap ada tanda cam scanner kalau scan.,3,2024,4,25
adhe ariants,dulu bagus banget sekarabg gabisa dibuka langsung pdf harus kompres jpg males,1,2024,4,24
tedhy hp,"aplikasi berbayar ? menyimpan hasil scan langsung ditodong berbayar, gratis cuma 3 hari di awal",1,2024,4,24
Dedy Muhaidi,"Aplikasi CamScanner Bagus banget sumpah, cuma 1 kali scan gambar, file/dokumen ke Pdf langsung jadi gk perlu edit2 yang bikin ribet. Terima kasih CamScanner sudah Bantu Saya Membuat Pdf atau yg lainnya😁",5,2024,4,23
joni purba,"Kebanyakan iklan , dikit dikit edit iklan Susah sih kalau aplikasi cari duit dari iklan sehingga kualitas nya berkurang",2,2024,4,22
Yana Febriansyah,"Sangat Membantu,dan juga mudah dalam mengaplikasikan nya,hasil scannernya pun jelas dan banyak opsi untuk mengirimkan file hasil scanner nya..terimakasih",5,2024,4,22
Ahmad Efendi,"Iklane parah sekarang,sebernarnya gpp ada iklan karena app gratis tapi y jangan ngawur masak lagi foto dan edit iklane keluar terus mengganggu malahan,lebih baik iklan dikeluarkan saat aplikasi awal pertama kali dibuka atau saat selesai penggunaan",1,2024,4,20
Putri Nurhikma.H,Aplikasi nya sangat membantu dalam merapikan foto foto buku. Memudahkan saya dalam menyimpan file dan dan memperkecil atau mengomptes file jadi hanya menggunakan sedikit memori,5,2024,4,18
Salma Hidayat,Recommand bgt aplikasi ini. Banyak membantu sy dlm melakukan kerja ktr sy. Mudah dlm memgoperaikannya. Pertama kali sy tau ada Scan dokumem di hp ini dulu sy install CanScanner ini and sampai saat ini sy masih tetap gunakan aplikasi ini. The best for CamScanner.,5,2024,4,8
Drum Cover,"Sekarang untuk menggabungkan beberapa file tidak bisa lagi, padahal dulu bisa menggabungkan/mengimpor beberapa file menjadi satu file. sekarang sudah tidak bisa lagi. Mohon diperbaiki",1,2024,4,8
afifah nurul putri ramadhani,"Aplikasinya sangat membantu, setelah pake beberapa aplikasi baru ini yg cocok. Sat set gak pake lama, yang bikin seneng ada otomatis setting scannya 🥰",5,2024,4,6
Darma Wangsa,Apaandah saya top up saldo dana jam 8 terus saya lihat ke dana lagi jam 9 kok berkurang saldo saya eh ternyata ada riwayat transaksi di aplikasi ini padahal saya pegang hp dari jam 8 sampai 9 ga buka aplikasi ini,1,2024,3,17
ALI CHANEL,mohon perbaiki lagi untuk koversi ke word agar teks dan penataan di gambar tidak berantakan dan tidak ada yang hilang garis garis nya,4,2024,3,16
Adi Purwahono,"Cukup mengecewakan, lebih bagusan yang versi sebelumnya, banyak sekali iklan yang setiap saat pasti muncul dan untuk melewatinya atau menutupnya juga sangat susah",1,2024,3,10
Backup Poto,"Kasih bintang satu aja biar di baca,kenapa kami memberi bintang 1 , jawabannya pasti sudah tau,isinya iklan melulu Jika kita buka aplikasi yang muncul iklan sangat meyebalkan",1,2024,3,7
Deasy Yuliani,"Kenapa sekarang buat ttd tambah ribet, harus ngurangin ukuran dan tebal tipisnya, masih enak yang sebelumnya tinggal tempel ttd uda selesai. Padahal sya premium lho tiap bln bayar tapi semakin kurang bagus gini, kembalikan seperti dulu.",3,2024,3,7
༺SσuL Dirty̶ツ༻,"Aplikasi bagus, banyak peningkatan setiap kali Update, dan Pemindaiannya juga lancar. Namun masalah utama itu iklan pada aplikasi ini terlalu berlebihan, bahkan sampai membuat hp jadi nge lag, gara² setiap kali masuk aplikasi CamScanner muncuk iklan Toko Oren (Sh*pee), sekaligus masuk aplikasi belanjanya. Tidak hanya itu, Toko ijo (T*kp3d) juga sama, memutar video & harus menunggu waktu selesai nya. Lebih baik perbaiki masalah ini & adakan fitur berbayar 1x LifeTime, bukan berlangganan!",3,2024,3,1
Nurul Hasanah,"dulu bagus banget ini aplikasi, tapi sekarang habis dibikin pdf kok file nya ngga bisa dikirim ke wa atau yg lain, ga bisa disimpen ke hp, ga bisa juga disimpan ke drive,, mana iklan mulu, gimana sih :))",3,2024,3,1
Adiguna darmawan lim,"WHY NOW CANNOT?kalo mau gabungkan bebrp file hasil scan yg ada difolder berbeda ke 1 file folder??(dulu bisa).Dulu bisa select file klik keluar menu SHARE, bisa kirim file ke folder lain, NOW tidak ada menu SHARE utk bisa pindah²kan dokumen/foto yg sdh ada di folder,saya Pake camscan dr 2012-NOW,skrg jadi tdk bisa bikin laporan kerja yg cepat dgn gabungan foto & dokumen 💥💥💥 dr awal saya support camscan,Pernah juga pake fasilitas FREE tapi dikerjain,Susah cari file lama kita&Iklannya byk jir😂",1,2024,2,29
Tejan Tr,"mohon untuk dikurangin iklannya sangat menggangu, trus kadang tiba2 malah masuk ke aplikasinya apalagi shopee...sering bnget tu iklan lewat trus tiba2 masuk ke aplikasinya",1,2024,2,21
Ny Yarashima_LeoJulywomen,"Sangat Membantu.. biaya bulanannya mahal sekali,, dan jika tidak berlangganan,, iklannya sangat tidak wajar.. biarpun sudah matikan data, iklan terus muncul.. tolong diperbaiki lagi, saya langganan premium.. tapi cari yg hemat.. kalau bulanan terlalu mahal.. karena saya pakai scanner hanya buat foto paket saja.",4,2024,2,18
NVL F,"Makin kesini iklannya tidak bisa di kontrol, iklan selalu muncul setiap ingin scan, yang paling menjengkelkan tu pas mau edit lagi iklan muncul ngga karuan, kalau cuman sekali aman lah, tapi ini 3 sampai 4 kali iklannya muncul",1,2024,2,16
Herry Chiko,Kenapa semenjak download apk ini tiba tiba sering muncul iklan..blm lah buka apk yg lain muncul iklan ganggu bnget.. Tolong diperbaiki..iklan sih iklan cm klu selalu muncul..jadi risih..mles jd gunaan apk ini mending uninstall 🙏 sejak di uninstall enak bnget gak ada iklan satupun..ngerjain tugas fokus..buat yg lain gak usah apk ini gak rekomended..bukan enak mlah bikin ribet iklan nya..tugas kalian terganggu..trim mksih,2,2024,2,13
Michella Sela,"Dulu camscaner bagus sekarang baru buka aplikasinya langsung iklan, langsung terbuka ke aplikasi Toko Oren padahal belum ada satu menit. Hingga membuat HP saya suhunya panas. Sangat mengganggu. Tolong diperbaiki",2,2024,2,8
yusi anti,"Kualitas aplikasi menurun tidak seperti dulu, hasil scan tulisan kecil sekarang ngeblur. Padahal cs sering dipakai untuk dokumen penting.... Mohon untuk ditingkatkan lagi.",2,2024,2,6
Ismail Saleh,"Mantap, keren, sangat bermanfaat gak nyesel download nya. Kalian wajib coba semua fitur nya, pasti kalian senyum2 liat hasilnya yg memuaskan. Terimakasih sdh membuat alat konversi",5,2024,2,4
sri hartatik,"perfoma scannya bagus dan cepet sich,, cumaa kalau gk bisa dibagikan pdf gimana atuh kalau mau bagikan harus bayar dulu,,dan iklan terusss,tolong iklannya dikurangi,,masak baru masuk apl langsung masuk ke Shopee,haduh🤦‍♀️ ,susah buat bagikan /kirim file,, bisanya simpan image di galeri",3,2024,1,27
Theodora Putri,Serius dehhh cam scanner kyknya harus kurang kurangin iklan di depan. Masa cuma ditinggal buka chrome sebentar pas balik harus nonton iklan 20 detik. Sebentar si 20 detik tapi buat yang di kejar deadline dokumen itu lumayan bgt.,5,2024,1,24
Rizki Hardiansyah Rahmat,"mantap dan terimakasih untuk developer telah membuat aplikasi ini yang dapat mempermudah orang untuk meng-scan file atau membuat file, selain mudah aplikasi ini juga gratis digunakan tidak kayak sebelah yang dulu gratiss tapi giliran udah terkenal malah berbayar wkwkw🤣. thanks all good job developer 👍",5,2024,1,22
mbah Bekel,"Gimana ya... Saya lebih suka yang versi dulu, serba geratis, dan membantu orang² yang per ekonominya tidak mampu.. Tapi sekarang serba pakai uang.. Membagikan fail PDF ke WA ada harus membayar dulu, mencoba 3 hari keratis sama aja kalau dah lewat 3 hari harus mbayar 100san rb,, ngak manuk... 😞😔😖pekerjaan jadi tersendat bayarannya tak seberapa masih punya tanggungan bayar di aplikasi cemscener demi menjadi fail PDF tuk pekerjaan😣😩",1,2024,1,21
Ambarwati,"Ketika saya ingin menggabungkan beberapa file berupa word menjadi pdf selalu tidak bisa. Padahal dulu aman² aja deh, knp sekarang jadi ribet ya? Tolong diperbaiki.",1,2024,1,18
Rere reny,"Tolong kembalikan ke versi lama, karna camscanner versi terbaru justru menyulitkan pengguna, tidak bisa mengatur /memindahkan posisi pdf,",1,2024,1,15
Adektikah Nurjannah,"Tolong diperbaiki kenapa setiap ingin langsung share file pdf, malah terus muncul pesan alihkan ke premium, dan setelah dikembalikan malah tidak bisa dikirim file nya",1,2024,1,6
Ito Tona,🙏🙏🙏 Saya mohon aplk CamScanner diperbaharui lagi karena kekurangannya adalah tidak bisa mengubah/mengatur tata letak file yang sudah discan dari Landscape menjadi portrait begitu pula sebaliknya dari Portrait ke Landscape.,3,2024,1,6
Yofferson Sitinjak,Terlalu banyak iklan promosi dan sudah tidak bagus apalagi mengenai berkas pindah ke PDF tidak ada tersimpan Kesimpulannya aplikasi ini sangat sangat buruk sekali jangan menginstal aplikasi ini terima kasih,1,2023,12,24
0295 Alvian Adhi,"Parah semakin kesini semakin jelek, skrg gk ada fitur simpan pdf. Cuma ada share pdf, dan setelah dishare ke WA nama filenya gk sama dengan yg kita simpen setelah di cek di file manager. Wkt dicek isi file cuma tulisan coding doang. Sangat kecewa!",1,2023,12,16
M fthrh 3,"Terdapat virus, terdeteksi oleh perangkat saya, tolong segera diperbaiki Saya mengunduhnya di google play store 5 bulan lalu, tidak ada yang salah pada saat itu, tapi kemarin sistem perangkat smartphone saya menginformasikan bahwa ada virus yang berbahaya.",1,2023,12,5
Young DK,Kenapa sekarang pas mau share pdf selalu muncul halaman dapatkan camscanner premium? Dan gak bisa diskip. Tolong petunjuknya. Hambat pekerjaan bgt soalnya,2,2023,12,5
P Ad (Pad),"Ini kenapa ya, semenjak update selalu bermasalah. Selalu ada pemberitahuan di notif hp kalau bervirus/problem. Berkas yang lama jadi hilang semua. Tolong solusinya dong padahal dulu gk gini.",2,2023,12,5
Team Kuyy,"mohon dibantu, untuk fitur select pdf (pindah/salin) agak dikembalikan kembali seperti dulu, karena saat ini utk versi terbaru saya sangat kesulitan untuk penggunaannya sperti untuk pindah/salin file isi pdf karena tidak semua file pdf bisa untuk dipindah/salin sperti dulu yang gampang tapi untuk sekarang penggunaannya sangat susah .",1,2023,11,30
Fevi maryani,"Aplikasi ini sangat baik bagi bisa memudahkan saya membuat file, pdf, jpg dengn mudah tanpa memakan waktu yg lama. Dan aplikasi ini bisa scan lansung dan juga bisa memindahkan tandatangan secara simpel",5,2023,11,25
Ardian,"Saya uninstall, aplikasi ini memakan banyak ruang memori, sebesar 5GB!!! Serius tidak bercanda, pantas saja selama ini memori hp tiap saat selalu penuh padahal tidak ada game,file,aplikasi besar, saya kira virus! tapi tidak, taunya setelah saya cari tau ternyata aplikasi ini yg makan memori!! Bug? Ntahlah namun saya berharap developer mendengarkan ini.",1,2023,11,17
Meisya rk,"Aplikasi ini sangat bagus,berguna untuk kita yang orangnya pgn praktis,apalgi zaman sekarang untuk menscan bisa dgn cara praktis,bisa digunakan dimanapun,mempercepat untuk menyelesaikan tugas juga",5,2023,11,17
beny agus,"sebelum sya upgrade tgl 14 Nov 2023 aplikasi scaner ini terbaik,,,namun setelah di upgrade sya kesusahan menggunakan aplikasi ini karena ada fitur yg berubah,,sebelumnya menggabungkan beberapa file atau memindahkan file utk digabungkan itu sangat mudah,,namun setelah di ugrade fitur tersebut tidak bsa digunakan",1,2023,11,14
Angkasa Park,"Saya sangat berterima kasih pada pengembang karena aplikasi ini sangat membantu saya, namun kenapa aplikasi ini terditeksi virus root kit? Virus ini menjadikan beberapa aplikasi saya tidak berfungsi. Semoga dibaca dan saya mendapatkan solusinya",3,2023,11,14
Wiensa Novembry,"Aplikasinya ini sangat bagus dan sangat membantu , dalam hal menjernihkan gambar, dan memudahkan saya dalam pengerjaan tugas yg mana harus di scan.",5,2023,11,13
Syafik Santosa,"aplikasinya tidak amann, aku baru beberapa hari pakai tiba tiba antivirus sama software bawaan mendeteksi kalau ada trojan di aplikasi Cam Scanner, sontak kuhapus aplikasinya, dan selang sehari fileku banyak yang hilang",2,2023,11,12
Dewy Ramdha,"Terimakasih Camscannerrr.. berkat ada kamu sangat mempermudah pekerjaan saya,, mau dimana saja bisa menggunakan aplikasi ini, bisa dijalan, bisa di tempat makan, bisa kapan saja asal dokumen yang mau di scan ada.. sangat terbantu dan keren 😎",5,2023,11,6
99%,"Aplikasi ini sangat bagus karena bisa foto scan tanpa ribet dan lebih praktis, hasilnya pun jernih. Sangat membantu dalam mengerjakan tugas atau untuk kebutuhan pekerjaan. Terimakasih.",5,2023,11,3
medi wahyudi,"Tidak jelas ni aplikasi, sudah pernah beli lisensi untuk untuk menghilangkan watermark, waktu install ulang dan login dengan akun yg sama lisensi (INTSIG) tidak berlaku, harus bayar lagi yg premium. yang parahnya lagi penuh dengan iklan.",1,2023,10,31
iK7N's mom,"Aplikasi yang sangat membantu pekerjaan saya. Walaupun tersedia secara gratis, CamScanner tetap memberikan hasil yang berkualitas dan dapat digunakan dimanapun saat dibutuhkan. Saat ini saya tidak perlu menggunakan alat profesional untuk scan karena dengan menggunakan aplikasi ini hasilnya sudah seperti hasil dari alat professional",5,2023,10,28
Muhammad Rizwan,"Aplikasi yang sangat berguna, dengan hanya modal kamera ponsel saja sudah bisa membuat gambar menjadi scan. Tapi kenapa notifikasi virus selalu muncul diaplikasi ini",4,2023,10,28
Made Adi,"kami mau pakai aplikasi ini buat scan dokumen bukan buat ngelihatin iklan, belum dipakai buat scan, tapi iklan udah lebih dari 10 kali, aplikasi aneh",1,2023,10,27
Fajar Nautikal Adyan,"Tiba2 aplikasi tertulis terinfeksi virus rootkit, sudah dihapus lalu saya instal ulang tapi status masih sama, solusinya ? Karena data2 hasil scan saya banyak di aplikasi ini",1,2023,10,22
Siska novita rani,"aku gak nyangka banget nyobain aplikasi camscanner ini ternyata sangat membantu banget buat pekerjaan saya. gak nyesel pokoknya install apk ini. disarani banget untuk install apk ini yg butuh buat pdf seperti anak sekolah, pekerja kantoran dll. 👍",5,2023,10,21
Safariah Spd,Aplikasi ini sangat bagus. Menghemat waktu dan biaya... hasil scenernya jernih .... jangan buang waktu dengan aplikasi lainnya.,5,2023,10,21
Nurzannah Lubis,"Aplikasi nya juara, mudah digunakan dn sangat membantu. Walau pencahayaan kurang atau tidak sempurna dlm pengambilan foto, tetap hasil scan nya okeee. Trm kasih CamScanner",5,2023,10,20
Wieshu Fauzy,"Aplikasi bagus tp yg sekarang terlalu banyak iklan dan sulit keluar, pliis kurangin iklan yg gak bisa lgs keluar nya, jd ganggu aktifitas",5,2023,10,19
nur vina,"Banyak kebutuhan masyarakat ingin mendapatkan informasi dengan cepat dan akurat. Teknologi komunikasi memainkan peran yg semakin penting. Aplikasi ini sangat dibutuhkan dan bermanfaat bagi pelajar dan mahasiswa, mereka bisa menggunakannya kapan dan dimana saja disaat mereka butuh dlm kegiatan akademik , meng-scan semua berkas manual menjadi bentuk digital tanpa harus mengantri ke tempat foto copy. Sekian manfaat yg dapat saya petik dari aplikasi ini.. Semoga bermanfaat 🤗",5,2023,10,13
Lutthaifa Kamila,"Aplikasi ini sangat membantu,dan memudahkan mengambil gambar dengan jelas ketika pencahayaan nyaa kurang terang,dapat meluruskan gambar",5,2023,10,11
dhanoe astro,Iklan g bisa di hentikan semakin liar. Lansung masuk aplikasi tidak bisa di skip. Malah lansung masuk aplikasi shoppee. Malah berulang ulang.tidak akan papkai aplikasi ini lagi. Saya terburu malah iklanya tidak ngotak,1,2023,10,11
rah man,"Aplikasinya bagus banget sangat membantu ketika scan dimanapun, ga pake ribet dengan aplikasi ini bisa otomatis ngatur lebar dokumen yang kita scan, selain itu juga hasil scannya bersih seperti scan menggunakan mesin print, terimakasih CamScanner.",5,2023,10,11
Gulter G,"Iklannya tolong dikurangin. Kalau bisa yg ada tombol silangnya smua. Jangan yg maksa langganan, tombol silangnya dihilangkan. Mengganggu banget",5,2023,10,2
mimin savitri,Sangat bermanfaat karena dapat melakukan scan dokumen dengan mudah dan cepat hanya menggunakan handphone saja. Terima kasih camscanner,5,2023,9,29
Jami Addin,Dulu masih bisa menjernihkan ketika blur. Sekarang sudah tidak bisa.. perbaiki dong kayak dulu. Kalau ngga auto pindah aplikasi nih,4,2023,9,29
Sunan Jayadi,Bagus untuk kita yang selalu berkecimpung dengan data..sehingga mempermudah kita untuk melakukan scanner data tanpa melalui menggunakan peralatan mesin scanner...saran saya percepat sedikit proses loding aplilasi karena agak lambat..,4,2023,9,21
Hesti Apriani,"Aplikasi Camscaner adalah cara mudah menyecan dokumen tanpa perlu repot membuka laptop dan printer, lebih praktis dan efisien dengan hasil scan yang bagus",5,2023,9,21
"Ardi Muin, S.Pd.","Sangat memudahkan kita untuk scan berkas, dan membuatnya menjadi dokumen pdf ataupun gambar. Ayo burun instal aplikasinya Sangat di rekomendasikan untuk kalian",5,2023,9,20
Abbie Manroe,"Sangat membantu dalam keperluan mendadak , saat kita tidak memiliki alat scan , mempunyai pengaturan pencahayaan untuk hasil yang maksimal",5,2023,9,15
Bandung Wijaya,"mudah digunakan, sudah banyak membantu saya untuk menyimpan dokumen saya dalam bentuk pdf atau jpeg, pengaturan dan tools juga banyak,penyimpanan mudah ,selalu terupdate",5,2023,9,13
Raya Cahya,"Memudahkan untuk yang sering membuat pdf dari foto secara cepat, banyak fitur yang dapat digunakan juga. Terlebih ada filter yang membuat tampilan pdf tersebut clear sehingga ketika di print tidak terlihat seperti foto sebelumnya.",5,2023,9,8
nita sary,"Aplikasi nya bagus juara bangeet 👍👍 Sangaat memudahkan bagi kita yang terbatas waktu atau keuangan. Kita bisa langsung foto berkas kita dan langsung ter scan dong, hasil nya juga bagus bangeet bersih dan jelas, Malahan hasil nya lebih bagus dari pda harus ke tukang fotocopy. Makasih camscanner telah membantu banyak kerjaan saya yg diharuskan men scan",5,2023,9,8
Januar lesmana,Aplikasi yang sangat memudahkan pekerjaan yang di tuntut harus mengirimkan gambar dengan jelas via email .. apalagi bisa langsung jadi pdf . Yang terutamaa .. ini free,5,2023,9,7
BPTM,"Mungkin perlu perbaikan lagi untuk efek tanpa bayangannya :). Untuk yang berwarna tidak bisa menggunakan efek tersebut, sedangkan di update sebelumnya bisa.. terimakasih untuk 3 tahun telah membantu berkas saya sebelumnya.",4,2023,9,6
Bella Afina,"Saya gak bisa hapus langganan premium ya sampe berbulan-bulan, udah docoba buka di play storepun ga ada. Di aplikasi juga ga ada tulisan buat tidak berlangganan. Tolong lah... Dana saya langsung ke tarik, bahkan kalo ga bayar pun jd ada denda. Please perbaiki lagi...",1,2023,9,4
Bagus Lindu Pamungkas,"Gabisa diupdate tapi jg gabisa dibuka ukurannya makin besar aja, sedikit saran minimalist karena fungsi yg dibutuhin ga semuanya dipake jdi klo mau sdlc nambah fitur dianalis atau diperbaiki kekurangan seblumnya",1,2023,9,4
laitsa nailil,"aplikasinya sangat bagus dan sangat membantu. ketika gambar dalam pencahayaan kurang ataupun pemotretan yg miring, tapi aplikasi ini bisa memperbaiki dengan sendirinya tanpa kita susah payah memangkas atau menyesuaikan letak miringnya agar bisa lurus.",5,2023,8,23
King Zoy,"Aku dlu pake ini apk, dan apknya masih berfungsi tapi aku unins karena lama gak kepake. Dan hari ini aku butuh banget dan mau instal lagi tapi kok udah 3 kali aku coba instal selalu gak bisa padahal penyimpanan yang kosong banyak kukta juga banyak tapi kok ga bisa ke instal. Kenapa ya?",1,2023,8,22
Jepri Sihombing,"Saya sangat terkesan dengan aplikasi CamScanner ini! Ini adalah solusi sempurna bagi saya yang sering berurusan dengan dokumen fisik. Dengan hanya mengambil gambar, aplikasi ini secara otomatis mengubahnya menjadi file PDF atau gambar yang dapat diedit. Kualitas hasil scan juga sangat baik, jadi saya tidak perlu khawatir tentang gambar yang buram atau sulit dibaca. Selain itu, fitur OCR (Optical Character Recognition) yang disediakan sangatlah hebat.",5,2023,8,17
Yis Arista,"Kerja lebih mudah dg aplikasi ini, kalau mau scan² berkas jd cepet, hasil scanan juga bagus , dan jelas . Dokumen yg di scan juga bisa di edit pakek aplikasi ini",5,2023,8,16
Ainin Azzahrah,"Saya kan sudah membuat 2 dokumen sebelumnya, tetapi pada saat akan membuat dokumen ketiga, saya tidak bisa mengganti nama dokumen saya. Saya pun sudah menghapus aplikasi lalu mendownloadnya kembali, tapi hasilnya tetap sama. Mohon bantuannya",2,2023,8,14
Rini Widyaningrum,"Terimakasih, sangat membantu pekerjaan. Tidak harus pakai printer untuk scan. Hasil scan juga sangat jelas dan rapi.",5,2023,8,13
Thasya Farlizah,"Memakai aplikasi ini sangat membantu dalam pekerjaan terutama untuk yg berkerja di kantoran jadi tidak perlu harus ubah dokumen pdf secara manual, tinggal fotokan di camscanner udah langsung jadi pdf deh dokumennya",5,2023,8,10
Lailatul Fikria,"Cam scanner mudah sekali penggunaannya, banyak pilihan fitur bahkan ada fitur untuk scan qr code. Jadi cukup satu aplikasi sudah bisa untuk untuk scan qr code dan scan berkas. Hasil scan juga baik. Keren cam scanner👍",5,2023,8,8
Nada Larasati,"Apk ini sangat bagus dari segi upload dokumen dan dalam penggabungan foto menjadi dokumen. Saya sangat terbantu dengan apk ini , cukup satu apk untuk semua masalah dokumen. Hanya saja untuk mengurangi iklan yang ada.",5,2023,8,7
muhammad aljazuli,"Semakin tidak nyaman menggunakan CamScanner, berulang ulang muncul iklan Tik Tok, memakan waktu cukup lama, sekitar 20 detik dan tak bisa diskip. Tidak seperti dulu yang minim iklan. aplikasi juga semakin lambat.",1,2023,8,7
Adhitya,"Dulu masih bisa menggunakan aplikasi ini (CamScanner), karena ukurannya yang tidak terlalu besar dan warna scan dengan warna dokumen asli masih sama, tapi sekarang malah ukurannya besar dan tidak ramah untuk HP saya, dan juga warna hasil scan yang tidak lagi sesuai dengan warna dokumen aslinya. Tolong Tim CamScanner, diperbaiki lagi aplikasinya!!!, masa harus bolak balik buat install dan uninstall aplikasi ini hanya untuk melakukan scan!!!",3,2023,8,7
Ajeng Aulia,Baguss mempermudah mengelola file tapi bikin kesel jg tiap kali buka pasti iklan sering muncul. Mohon diperbaiki lagi untuk iklannya jangan terlalu sering karena itu sangat menggganggu,2,2023,8,3
Rzann Oct,padahal aku suka bgt sm apk ini sangat membantu pekerjaan. tapi kenapa sekarang tidak bisa menggunakan batch foto ?? padahal pekerjaan saya mengharuskan memfoto dokumen yang banyak kalo satu² agak susah dan lambat. tolong fitur Batch foto dikembalikan :(,3,2023,8,3
Alin DA,Iklannya banyak. Sering muncul popup game. Tapi bagaimanapun aplikasi ini bermanfaat sekali buat saya. Kalau tidak mau terganggu iklan ya tinggal pakai versi berbayarnya aja. Intinya : Help full ⭐️⭐️⭐️⭐️⭐️,5,2023,7,28
inkusadi,"bagus sih tidak juga....karena kualitas hasil rekam scanner ke PDF msh tdk sesuai dgn warna dokumen asli, dan tdk bisa di sesuaikan ukuran kapasitas file nya, bagi pengembang terimakasih sangat dan mhn di tingkatkan utk lebih mantaPPP",3,2023,7,21
Agung Cahyono,"aplikasinya bagus lebih mudah dan tidak ribet, untuk pakai file pdf jg ok, ada autonya jadi tdk perlu repot2 mengedit sendiri, aplikasi ini jg tdk ada iklannya,, saya lebih suka pakai ini..",5,2023,7,19
Dela Safitri,Aplikasi lambat memutar aja ga bisa digunakan dulu 2018 gunakan bagus mudah sekarang tambah taun malah banyak iklan lemot ga bisa digunakan.,1,2023,7,7
Erickyusrizal Firdaus,Aplikasi masih lambat Setelah diupdate Masih ada beberapa bug yang sangat mengganggu Disaat melakukan screen selalu timbul bug,2,2023,7,5
Putut Demuk,Setelah diupdate aplikasi semakin berat dan banyak iklannya. Tidak seperti dulu aplikasinya ringan simpel mudah mengoperasikannya.,1,2023,7,4
Hartina Sapa,Sangat membantu utk scan dokumen meskipun watermark kadang mengganggu. Kejernihann trgantung kualitas kamera masing2 juga.,4,2023,6,30
FIONA widya sakhi,"Kenapa sih ini!? Mau di instal malah ga jadi ke instal trus katanya ( coba lagi,jika masih tidak berfungsi lihat cara umum untuk memperbaiki masalah ini) aku udah coba 3 kali ttp g jdi,klo ky gini gimanaa! cuman ngabisin paketan doang klo ky gini,mnding tdi g ush instal!!!!",1,2023,6,27
Ayu Listiasari,"Kenapa setelah update malah susah buat ambil gambar dari file pdf terus makin burem, Padahal sebelumnya jernih kalo mau diambil gambar dari file pdf",3,2023,6,24
